ENSG00000008128	ENSRNOG00000014290	ENSMUSG00000025921	ENSSSCG00000004050	ENSDARG00000100307	FBgn0031250	AT1G01430	
ENSG00000008130	ENSRNOG00000014431	ENSMUSG00000025920	ENSSSCG00000040317	ENSDARG00000101089	FBgn0000061	AT1G01440	
ENSG00000078369	ENSRNOG00000014450	ENSMUSG00000025939	ENSSSCG00000004052	ENSDARG00000115421	FBgn0031251	AT1G01450	
ENSG00000169885	ENSRNOG00000014852	ENSMUSG00000079658	ENSSSCG00000004053	ENSDARG00000087646	FBgn0003278	AT1G01453	
ENSG00000178821	ENSRNOG00000040242	ENSMUSG00000025940	ENSSSCG00000004055	ENSDARG00000067781	FBgn0264855	AT1G01460	
ENSG00000142609	ENSRNOG00000011058	ENSMUSG00000025779	ENSSSCG00000004058	ENSDARG00000099108	FBgn0263933	AT1G01470	
ENSG00000187730	ENSRNOG00000066763	ENSMUSG00000042686	ENSSSCG00000004057	ENSDARG00000001870	FBgn0031252	AT1G01480	
ENSG00000067606	ENSRNOG00000014902	ENSMUSG00000025777	ENSSSCG00000033107	ENSDARG00000002791	FBgn0002593	AT1G01490	
ENSG00000162585	ENSRNOG00000014908	ENSMUSG00000067780	ENSSSCG00000024876	ENSDARG00000007739	FBgn0031253	AT1G01500	
ENSG00000157933	ENSRNOG00000068605	ENSMUSG00000025776	ENSSSCG00000031776	ENSDARG00000039131	FBgn0031254	AT1G01510	
ENSG00000116151	ENSRNOG00000025587	ENSMUSG00000025774	ENSSSCG00000043930	ENSDARG00000040252	FBgn0031255	AT1G01520	
ENSG00000157916	ENSRNOG00000042705	ENSMUSG00000073735	ENSSSCG00000024019	ENSDARG00000089477	FBgn0004583	AT1G01530	
ENSG00000157911	ENSRNOG00000015217	ENSMUSG00000067773	ENSSSCG00000012314	ENSDARG00000093102	FBgn0015924	AT1G01540	
ENSG00000149527	ENSRNOG00000015473	ENSMUSG00000042596	ENSSSCG00000012315	ENSDARG00000095102	FBgn0031256	AT1G01550	
ENSG00000157881	ENSRNOG00000015551	ENSMUSG00000025927	ENSSSCG00000030535	ENSDARG00000040250	FBgn0031257	AT1G01560	
ENSG00000197921	ENSRNOG00000015660	ENSMUSG00000043760	ENSSSCG00000048243	ENSDARG00000075505	FBgn0031258	AT1G01570	
ENSG00000157873	ENSRNOG00000046983	ENSMUSG00000025929	ENSSSCG00000035027	ENSDARG00000010376	FBgn0027592	AT1G01580	
ENSG00000157870	ENSRNOG00000010753	ENSMUSG00000041872	ENSSSCG00000038527	ENSDARG00000033684	FBgn0003963	AT1G01590	
ENSG00000142606	ENSRNOG00000011015	ENSMUSG00000041859	ENSSSCG00000004063	ENSDARG00000040247	FBgn0043364	AT1G01600	
ENSG00000215912	ENSRNOG00000011399	ENSMUSG00000025931	ENSSSCG00000004064	ENSDARG00000078743	FBgn0010602	AT1G01610	
ENSG00000169717	ENSRNOG00000011411	ENSMUSG00000041809	ENSSSCG00000004068	ENSDARG00000018460	FBgn0031260	AT1G01620	
ENSG00000142611	ENSRNOG00000011540	ENSMUSG00000041779	ENSSSCG00000024361	ENSDARG00000040246	FBgn0005660	AT1G01630	
ENSG00000130762	ENSRNOG00000012092	ENSMUSG00000025933	ENSSSCG00000004065	ENSDARG00000040245	FBgn0031261	AT1G01640	
ENSG00000162591	ENSRNOG00000012103	ENSMUSG00000025934	ENSSSCG00000004070	ENSDARG00000074381	FBgn0260933	AT1G01650	
ENSG00000158109	ENSRNOG00000056940	ENSMUSG00000067750	ENSSSCG00000044991	ENSDARG00000095179	FBgn0031263	AT1G01660	
ENSG00000116213	ENSRNOG00000060021	ENSMUSG00000041722	ENSSSCG00000004071	ENSDARG00000070579	FBgn0031264	AT1G01670	
ENSG00000078900	ENSRNOG00000060610	ENSMUSG00000085079	ENSSSCG00000004074	ENSDARG00000070581	FBgn0031265	AT1G01680	
ENSG00000162592	ENSRNOG00000060972	ENSMUSG00000028033	ENSSSCG00000004075	ENSDARG00000103156	FBgn0021874	AT1G01690	
ENSG00000235169	ENSRNOG00000051450	ENSMUSG00000041670	ENSSSCG00000004076	ENSDARG00000103647	FBgn0031266	AT1G01695	
ENSG00000130764	ENSRNOG00000059224	ENSMUSG00000073730	ENSSSCG00000004077	ENSDARG00000098769	FBgn0031267	AT1G01700	
ENSG00000116198	ENSRNOG00000055142	ENSMUSG00000026158	ENSSSCG00000004078	ENSDARG00000078308	FBgn0031268	AT1G01710	
ENSG00000169598	ENSRNOG00000053347	ENSMUSG00000026156	ENSSSCG00000031536	ENSDARG00000033928	FBgn0013323	AT1G01715	
ENSG00000198912	ENSRNOG00000060603	ENSMUSG00000026155	ENSSSCG00000004081	ENSDARG00000031164	FBgn0023489	AT1G01720	
ENSG00000196581	ENSRNOG00000053735	ENSMUSG00000026154	ENSSSCG00000049158	ENSDARG00000037777	FBgn0010323	AT1G01725	
ENSG00000131697	ENSRNOG00000011460	ENSMUSG00000026153	ENSSSCG00000004082	ENSDARG00000016706	FBgn0031270	AT1G01730	
ENSG00000069424	ENSRNOG00000025799	ENSMUSG00000026147	ENSSSCG00000025777	ENSDARG00000030350	FBgn0040106	AT1G01740	
ENSG00000116254	ENSRNOG00000011994	ENSMUSG00000026141	ENSSSCG00000004087	ENSDARG00000006526	FBgn0040107	AT1G01750	
ENSG00000116251	ENSRNOG00000049517	ENSMUSG00000073725	ENSSSCG00000004088	ENSDARG00000077688	FBgn0031273	AT1G01760	
ENSG00000158286	ENSRNOG00000064127	ENSMUSG00000033569	ENSSSCG00000004089	ENSDARG00000096546	FBgn0284247	AT1G01770	
ENSG00000116237	ENSRNOG00000064148	ENSMUSG00000073722	ENSSSCG00000004090	ENSDARG00000092671	FBgn0011244	AT1G01780	
ENSG00000173673	ENSRNOG00000012074	ENSMUSG00000048874	ENSSSCG00000031733	ENSDARG00000063297	FBgn0026438	AT1G01790	
ENSG00000158292	ENSRNOG00000012259	ENSMUSG00000086727	ENSSSCG00000004092	ENSDARG00000027078	FBgn0031275	AT1G01800	
ENSG00000097021	ENSRNOG00000012286	ENSMUSG00000050217	ENSSSCG00000032778	ENSDARG00000017537	FBgn0031276	AT1G01810	
ENSG00000069812	ENSRNOG00000012311	ENSMUSG00000026063	ENSSSCG00000040966	ENSDARG00000063270	FBgn0040725	AT1G01820	
ENSG00000187017	ENSRNOG00000012322	ENSMUSG00000026058	ENSSSCG00000004093	ENSDARG00000018008	FBgn0031277	AT1G01830	
ENSG00000215788	ENSRNOG00000040273	ENSMUSG00000091318	ENSSSCG00000004094	ENSDARG00000074031	FBgn0041250	AT1G01840	
ENSG00000171680	ENSRNOG00000031700	ENSMUSG00000026134	ENSSSCG00000035574	ENSDARG00000043247	FBgn0031279	AT1G01860	
ENSG00000162408	ENSRNOG00000012701	ENSMUSG00000004768	ENSSSCG00000032525	ENSDARG00000113848	FBgn0000442	AT1G01880	
ENSG00000173662	ENSRNOG00000068973	ENSMUSG00000042215	ENSSSCG00000033578	ENSDARG00000063253	FBgn0051658	AT1G01900	
ENSG00000204859	ENSRNOG00000058050	ENSMUSG00000042197	ENSSSCG00000004096	ENSDARG00000073857	FBgn0086130	AT1G01910	
ENSG00000162413	ENSRNOG00000013436	ENSMUSG00000042182	ENSSSCG00000041378	ENSDARG00000070558	FBgn0031281	AT1G01920	
ENSG00000116273	ENSRNOG00000013969	ENSMUSG00000026131	ENSSSCG00000026042	ENSDARG00000025754	FBgn0031282	AT1G01930	
ENSG00000041988	ENSRNOG00000055858	ENSMUSG00000042111	ENSSSCG00000004101	ENSDARG00000063207	FBgn0031283	AT1G01940	
ENSG00000007923	ENSRNOG00000014531	ENSMUSG00000026127	ENSSSCG00000004103	ENSDARG00000090408	FBgn0031284	AT1G01950	
ENSG00000171735	ENSRNOG00000014907	ENSMUSG00000026126	ENSSSCG00000004105	ENSDARG00000013741	FBgn0015621	AT1G01960	
ENSG00000049245	ENSRNOG00000014979	ENSMUSG00000026125	ENSSSCG00000031644	ENSDARG00000017441	FBgn0031285	AT1G01970	
ENSG00000049246	ENSRNOG00000047605	ENSMUSG00000026124	ENSSSCG00000004106	ENSDARG00000037713	FBgn0031286	AT1G01980	
ENSG00000049247	ENSRNOG00000069014	ENSMUSG00000037529	ENSSSCG00000004104	ENSDARG00000021688	FBgn0010583	AT1G01990	
ENSG00000049249	ENSRNOG00000011134	ENSMUSG00000045174	ENSSSCG00000030067	ENSDARG00000004953	FBgn0020304	AT1G02000	
ENSG00000116288	ENSRNOG00000046438	ENSMUSG00000037509	ENSSSCG00000028867	ENSDARG00000074050	FBgn0031287	AT1G02020	
